n_sims,avg_champion_prob_std,max_champion_prob_std,avg_score_std,max_score_std,top4_stability,seconds_per_run
1000,0.002527630396021308,0.009478396488858232,0.03227307897538714,0.053660413714394596,0.6,10.174356651306152
2500,0.0016122946329459268,0.006603756506716461,0.021780992230859893,0.04059919211018859,0.8,10.433359146118164
5000,0.0011932507657514146,0.004808326112068523,0.013043079525694307,0.023275532217330648,1.0,10.847561979293824
10000,0.0008320723980768892,0.0034704466571321897,0.009668261160070933,0.013744293361246275,1.0,11.697116565704345
20000,0.0005884464211204865,0.0030418086724841834,0.006344102738619389,0.010957399326482526,1.0,13.399654817581176
